sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"Stein, Elias M., 1931-","Real analysis : measure theory, integration, and Hilbert spaces =",nan,20200930,理科馆理科书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"廖晓昕,",稳定性的理论、方法和应用,nan,已催还20200930,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"Morandi, Patrick.",Field and Galois theory /,nan,20200930,数学分馆图书阅览室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"Silverman, Joseph H., 1955- author.",Rational points on elliptic curves /,nan,20200930,数学分馆图书阅览室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"Carter, Nathan.",Visual group theory /,nan,20191021,数学分馆图书阅览室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,周民强,实变函数论,nan,20190424,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,陶哲轩,陶哲轩实分析,nan,20190424,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,丁同仁,常微分方程教程,nan,20190424,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"丘维声,",解析几何,nan,20181231,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,卓里奇,数学分析,nan,20181225,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,宋天佑,无机化学习题解答,nan,20180906,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,轩植华,光学,nan,20180906,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,钟锡华,现代光学基础,nan,20180906,理科馆基础学科借阅室
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"钱理群,",周作人研究二十一讲,nan,20180816,文科馆文科综合书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,钱理群,周作人正传,nan,20180816,文科馆文科综合书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,钱理群,周作人正传,nan,20180814,文科馆文科综合书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"钱理群,",周作人研究二十一讲,nan,20180814,文科馆文科综合书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,"林语堂,",吾国与吾民,nan,20180705,文科馆文科综合书库
f5b4bd23dac51f410dbe1dc340eb5d03,自然科学试验班,王小波,沉默的大多数,nan,20171107,文科馆文学艺术书库
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,edited by Faris Yilmaz.,Polymer science /,nan,20190812,理科馆外教中心阅览室
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,"Peacock, Andrew J., 1959-",Polymer chemistry :,nan,20190812,理科馆外教中心阅览室
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,黄军左,高分子化学改性,nan,20190808,理科馆基础学科借阅室
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,励杭泉,聚合物物理学,nan,20190808,理科馆基础学科借阅室
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,厦门大学,结构化学,nan,20190125,理科馆基础学科借阅室
9a6b0dc26ad534f7409f00c19b307723,自然科学试验班,夏少武,结构化学,nan,20190125,理科馆基础学科借阅室
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,马鸣远,人工智能与专家系统导论,nan,20200305,张江馆张江书库
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,"卢格尔,",人工智能,nan,20200305,张江馆张江书库
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,尼罗德,应用逻辑,nan,20190426,张江馆张江书库
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,廖虎,离散数学导教·导学·导考,nan,20190311,张江馆张江书库
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,"Drozdek, Adam.",Data structures and algorithms in Java =,nan,20181022,张江馆张江书库
9842c0897d88ddb447ce2ffc437f3c42,自然科学试验班,马克思,1844年经济学哲学手稿,nan,已催还20180108,文科馆文科综合书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,拉塞尔,人工智能,nan,20190603,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"黑斯蒂,",统计学习基础,nan,20190527,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,潘蕊,数据思维实践,nan,20190507,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,王珊,数据库系统概论,nan,20190506,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,格里斯,语言研究中的统计学,nan,已催还20190405,文科馆文科综合书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"索曼,",数据挖掘基础教程,nan,20190313,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,威滕,数据挖掘,nan,20190313,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,路彦雄,文本上的算法,nan,20190313,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,裘宗燕,数据结构与算法,nan,20190307,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,屈婉玲,算法设计与分析,nan,20190307,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,德梅尔,应用数值线性代数,nan,20190307,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,韦来生,数理统计,nan,20190215,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,陈家鼎,数理统计学讲义,nan,20190215,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,王兆军,数理统计教程,nan,20190215,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"特雷弗森,",数值线性代数,nan,20190211,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"特雷弗森,",数值线性代数,nan,20190103,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,布赖恩特,深入理解计算机系统,nan,已催还20190102,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,裘宗燕,数据结构与算法,nan,已催还20190102,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,潘鑫,考研数学三部曲之大话概率论与数理统计,nan,20181231,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,沈远彤,概率论与数理统计学习辅导与习题精解,nan,20181231,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"特雷弗森,",数值线性代数,nan,20181217,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,德梅尔,应用数值线性代数,nan,20181112,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"特雷弗森,",数值线性代数,nan,20181112,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,"马昌凤,",数值线性代数与算法,nan,20181112,理科馆基础学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,达尔高,R语言统计入门,nan,已催还20181106,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,布赖恩特,深入理解计算机系统,nan,已催还20181106,理科馆应用学科借阅室
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,严蔚敏,数据结构(C语言版),nan,20181106,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,严蔚敏,数据结构题集,nan,20181106,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,蒂特,R语言经典实例,nan,20180907,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,严蔚敏,数据结构题集,nan,20180905,张江馆张江书库
59deb74816ff4cdfdf1d2f4fd774d96f,自然科学试验班,严蔚敏,数据结构(C语言版),nan,20180905,张江馆张江书库
