sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"黄洋,",希腊史研究入门,nan,20190107,文科馆文科综合书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"沈德咏,",合同司法解释理解与适用,nan,20180905,文科馆政经法阅览室
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"王利明,",合同法研究,nan,20180905,江湾馆文科借阅区
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,中国法制出版社,中华人民共和国合同法,nan,20180905,文科馆政经法阅览室
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,袁雪石,合同法一本通,nan,20180905,文科馆政经法阅览室
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,王全弟,债法概论,nan,20180905,江湾馆文科借阅区
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"Diamond, Jared M.","Guns, germs, and steel :",nan,20180705,理科馆外教中心阅览室
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"邱澎生,",当法律遇上经济,nan,20180622,江湾馆文科借阅区
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"鲁迅,",华盖集续编,nan,20180511,文科馆1号密集书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,王锦泉,论《华盖集》及其＂续编＂,nan,20180511,文科馆1号密集书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,李明军,禁忌与放纵,nan,20180507,文科馆文学艺术书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,陈平原,中国散文小说史,nan,已催还20180507,文科馆1号密集书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"贾植芳,",现代散文鉴赏辞典,nan,已催还20180507,文科馆1号密集书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,哈格,信息时代的管理信息系统,nan,20180507,文科馆文科综合书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,王全弟,债法概论,nan,已催还20180507,文科馆政经法阅览室
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,"李梦生,",中国禁毁小说百话,nan,已催还20180507,文科馆文学艺术书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,贝尔纳,历史上的科学,nan,20180314,理科馆理科书库
c0c033c71f0d5e8d1e41382aea7b842e,经济学院,贝尔纳,历史上的科学,nan,20180314,理科馆理科书库
