sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"吴心伯,",中美关系战略报告,nan,20190905,文科馆政经法阅览室
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,陆佳怡,媒体外交,nan,20190905,文科馆政经法阅览室
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"亨廷顿,",第三波,nan,已催还20190108,文科馆政经法阅览室
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,费正清,剑桥中国晚清史,nan,20190108,文科馆文科综合书库
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"贝弗里奇,",贝弗里奇报告,nan,20190108,文科馆政经法阅览室
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,禹贞恩,发展型国家,nan,已催还20180314,文科馆政经法阅览室
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"吕思勉,",吕著中国通史,nan,20180314,文科馆文科综合书库
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"马长寿,",突厥人和突厥汗国,nan,20171127,文科馆文科综合书库
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"林幹,",突厥与回纥史,nan,20171127,文科馆文科综合书库
5bb1e4ba7fcc777644b82486f42d3fa4,中国语言文学系,"吕思勉,",吕著中国通史,nan,20171113,文科馆文科综合书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,"王术臻,",沧浪诗话研究,nan,20201208,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,"严羽,",沧浪诗话,nan,20201208,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,张健,知识与抒情,nan,已催还20201104,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,黄晋凯,象征主义·意象派,nan,20200930,文科馆1号密集书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,克拉考尔,侦探小说,nan,20200930,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,本雅明,德意志悲苦剧的起源,nan,20200930,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,萨克雷,名利场,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,刘勰,文心雕龙今译,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,狄更斯,雾都孤儿,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,福柯,生命政治的诞生,nan,20200227,文科馆文科综合书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,刘勰,文心雕龙义证,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,王运熙,文心雕龙探索,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,兰陵笑笑生,金瓶梅词话,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,兰陵笑笑生,金瓶梅词话,nan,20200227,文科馆文学艺术书库
0253c8d15e5d3f8cdfc963f56328acce,中国语言文学系,笛福,鲁滨孙飘流记,nan,20200227,文科馆文学艺术书库
