sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
a170b3b951c5339daab009019c5441c0,临床医学院,张继宗,死亡学,nan,已催还20190905,医科馆中文图书区
a170b3b951c5339daab009019c5441c0,临床医学院,余平,医学免疫学题库与题解,nan,20190503,医科馆中文图书区
a170b3b951c5339daab009019c5441c0,临床医学院,党瑞山,人体系统解剖学实物图谱,nan,20190121,医科馆中文图书区
a170b3b951c5339daab009019c5441c0,临床医学院,揭克敏,生物化学与分子生物学试题库,nan,20181116,医科馆中文图书区
a170b3b951c5339daab009019c5441c0,临床医学院,党瑞山,人体系统解剖学实物图谱,nan,20181112,医科馆中文图书区
a170b3b951c5339daab009019c5441c0,临床医学院,金钟,山海经全新注释,nan,20180906,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,郑军,山海经图考,nan,20180906,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,"刘向,",山海经,nan,20180906,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,科克伦,一万年的爆发,nan,20180712,理科馆基础学科借阅室
a170b3b951c5339daab009019c5441c0,临床医学院,陈南,怪异心理学,nan,20180706,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,莱希,心理学导论,nan,20180706,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,艾萨克森,爱因斯坦传,nan,20180702,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,席尔瓦,暗杀大师,nan,20180702,文科馆文学艺术书库
a170b3b951c5339daab009019c5441c0,临床医学院,大山诚一郎,密室收藏家,nan,20180702,文科馆文学艺术书库
a170b3b951c5339daab009019c5441c0,临床医学院,席尔瓦,暗杀大师,nan,20180702,文科馆文学艺术书库
a170b3b951c5339daab009019c5441c0,临床医学院,罗素,西方哲学史及其从古代到现代的政治、社会情况的联系,nan,20171116,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,贾斯特,行为经济学,nan,已催还20171116,文科馆政经法阅览室
a170b3b951c5339daab009019c5441c0,临床医学院,卡米克,马克斯·韦伯的《经济与社会》：评论指针,nan,20171116,文科馆政经法阅览室
a170b3b951c5339daab009019c5441c0,临床医学院,罗素,西方哲学史及其从古代到现代的政治、社会情况的联系,nan,20171116,文科馆文科综合书库
a170b3b951c5339daab009019c5441c0,临床医学院,"陈连营,",帝国黄昏,nan,20171116,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,范中义,明代倭寇史略,nan,20201123,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"孟森,",明史讲义,nan,20201123,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,王万铁,病理生理学,nan,20200114,医科馆中文图书区
909d4890fae72b51fdab1a0ef47c0638,临床医学院,郑广南,中国海盗史,nan,20191230,文科馆政经法阅览室
909d4890fae72b51fdab1a0ef47c0638,临床医学院,范中义,明代倭寇史略,nan,20191223,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"孟森,",明史讲义,nan,20191223,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,王万铁,病理生理学,nan,20191104,医科馆中文图书区
909d4890fae72b51fdab1a0ef47c0638,临床医学院,刘民,医学科研方法学,nan,20190905,医科馆中文图书区
909d4890fae72b51fdab1a0ef47c0638,临床医学院,普拉策,人体解剖学彩色图谱,nan,20181210,医科馆中文图书区
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"钱亦华,",人体解剖学图谱,nan,20181114,医科馆中文图书区
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"希提,",阿拉伯通史,nan,20180625,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"希提,",阿拉伯通史,nan,20180625,文科馆文科综合书库
909d4890fae72b51fdab1a0ef47c0638,临床医学院,傅献彩,大学化学,nan,20171113,理科馆基础学科借阅室
909d4890fae72b51fdab1a0ef47c0638,临床医学院,"尼科尔斯,",神经生物学,nan,20171113,理科馆理科书库
860176ffdb1f64ebd6805f491f98923b,临床医学院,洛夫克拉夫特,克苏鲁神话,nan,20200930,文科馆文学艺术书库
860176ffdb1f64ebd6805f491f98923b,临床医学院,赛特菲尔德,第十三个故事,nan,20191111,医科馆中文图书区
860176ffdb1f64ebd6805f491f98923b,临床医学院,"芥川龙之介,",罗生门,nan,20191111,医科馆中文图书区
860176ffdb1f64ebd6805f491f98923b,临床医学院,莱维,元素周期表,nan,20191111,医科馆中文图书区
860176ffdb1f64ebd6805f491f98923b,临床医学院,黄荷凤,实用人类辅助生殖技术,nan,20190905,医科馆中文图书区
860176ffdb1f64ebd6805f491f98923b,临床医学院,洛夫克拉夫特,克苏鲁神话,nan,已催还20181105,文科馆文学艺术书库
860176ffdb1f64ebd6805f491f98923b,临床医学院,洛夫克拉夫特,克苏鲁神话,nan,已催还20181105,文科馆文学艺术书库
91b6877d6cccefc29b94e702c2edfd08,临床医学院,"马文丽,",生物化学,nan,20181113,医科馆中文图书区
91b6877d6cccefc29b94e702c2edfd08,临床医学院,艾伯茨,细胞生物学精要,nan,20180921,医科馆教学参考书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,"谢幸,",妇产科学,nan,20200921,医科馆教学参考书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,"三秋缒,",恋爱寄生虫,nan,20191126,文科馆文学艺术书库
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,郭慕依,组织病理学彩色图谱,nan,20190905,医科馆中文图书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,阿吉尔,Grant解剖学图谱,nan,20190628,医科馆中文图书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,阿吉尔,Grant解剖学图谱,nan,20190628,医科馆中文图书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,周爱儒,生物化学应试指南,nan,20190312,医科馆密集库
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,秦川,实验动物学,nan,20190312,医科馆中文图书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,"曹雪涛,",医学免疫学,nan,已催还20190307,医科馆教学参考书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,"刘树伟,",局部解剖学,nan,20190307,医科馆教学参考书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,杨红,生物化学学习指导与习题集,nan,20190211,张江馆张江书库
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,唐军民,组织学与胚胎学应试指南,nan,20190204,医科馆密集库
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,志坚,表达力,nan,20190130,医科馆中文图书区
7e5d4c7d13c8f8f3c09a621edb2ae0ba,临床医学院,"毕淑敏,",毕淑敏精选集,nan,20180905,医科馆24h无人值守图书
45471863be86cf2c82eabb5c3829d465,临床医学院,弗雷谢尼,动物细胞培养,nan,20201231,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,"周宁新,",机器人微创外科手术探索与实践,nan,20200210,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,甄作均,实用微创外科手册,nan,20200210,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,翟瑜,外科微创学,nan,20200210,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,"吕章申,",卢浮宫的创想,nan,20191125,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,莱维,元素周期表,nan,20190905,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,莱维,元素周期表,nan,20190523,医科馆中文图书区
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180809,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180809,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180809,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180705,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"康志峰,",英语口译实用教程,nan,20180705,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180612,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180612,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180612,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180612,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"陈寿,",三国志,nan,20180510,文科馆文科综合书库
45471863be86cf2c82eabb5c3829d465,临床医学院,"康志峰,",英语口译实用教程,nan,20180510,文科馆文科综合书库
d2c680def14464190a286c07ea4391c9,临床医学院,杨吉成,医用细胞工程,nan,20210112,医科馆中文图书区
d2c680def14464190a286c07ea4391c9,临床医学院,孙晓勇,高通量测序技术在选择性剪接研究中的应用,nan,20210106,医科馆中文图书区
