sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,福赛思,计算机视觉,nan,已催还20201028,理科馆应用学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,龚刚,宏观经济学,nan,20200227,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,龚刚,当代中国经济,nan,20200227,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,达菲,实验宏观经济学,nan,20200110,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,巴罗,中级宏观经济学,nan,20200110,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,中国,百年大变局,nan,20191218,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"贝尔,",神经科学,nan,20190905,理科馆理科书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"顾凡及,",脑科学的新故事,nan,20190905,理科馆理科书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"Horstmann, Cay S., 1959-",Core Java.,nan,20190701,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,曼瑟,单词的历史,nan,20190701,医科馆中文图书区
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,罗兹,Python网络编程,nan,20190701,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,萨默菲尔德,Python 3程序开发指南,nan,20190701,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"Horstmann, Cay S., 1959-",Core Java.,nan,20190701,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,德雷克,Android安全攻防权威指南,nan,20190701,理科馆应用学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,彼得森,计算机网络系统方法,nan,20190625,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,胡道元,计算机网络,nan,20190625,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,杨峻,Android系统安全和反编译实战,nan,20190625,理科馆应用学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,《西方经济学》编写组,西方经济学,nan,20190429,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"安虎森,",区域经济学,nan,20190425,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,布赖恩特,深入理解计算机系统,nan,已催还20190327,理科馆应用学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"许渊冲,",翻译的艺术,nan,20190207,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,许渊冲,中诗英韵探胜,nan,20190207,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"许渊冲,",梦与真,nan,20190207,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,王爱琴,英汉互译理论与实务,nan,20190207,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"李玉良,",《诗经》翻译探微,nan,20190204,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"邹德浩,",加拿大,nan,20190204,张江馆张江书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,陈友勋,汉英笔译教程,nan,20190201,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,张培基,英汉翻译教程,nan,20190201,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,张保红,诗歌翻译探索,nan,20190201,文科馆文学艺术书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,成昭伟,实用研究生英语翻译教程,nan,20190201,文科馆文科综合书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,麦卡恩,城市与区域经济学,nan,20180906,文科馆政经法阅览室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,张留成,高分子材料基础,nan,20180314,理科馆理科书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,梁晖,高分子科学基础,nan,20180314,理科馆基础学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,张从军,线性代数,nan,20180314,理科馆基础学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,焦剑,功能高分子材料,nan,20180314,理科馆理科书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,陈莉,智能高分子材料,nan,20180314,理科馆理科书库
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,郭进,大学物理,nan,20180314,理科馆基础学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,董馨阳,遗传和进化,nan,20180314,理科馆基础学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,姚慕生,高等代数,nan,20180314,理科馆基础学科借阅室
2a1cf89c0dbf5f3d4af081bcc5ca4985,技术科学试验班,"Mumtazuddin, Syed.",Organic chemistry :,nan,20170919,理科馆外教中心阅览室
fb19b068ac40898556ae32ec2ce27b83,技术科学试验班,阮仪三,上海石库门,nan,20190617,理科馆理科书库
fb19b068ac40898556ae32ec2ce27b83,技术科学试验班,田汉雄,上海石库门里弄房屋简史,nan,20190617,理科馆理科书库
fb19b068ac40898556ae32ec2ce27b83,技术科学试验班,"Rosen, Stanley, 1929-",The idea of Hegel's Science of logic /,nan,20181231,理科馆外教中心（东）
fb19b068ac40898556ae32ec2ce27b83,技术科学试验班,余克艰,运筹学,nan,20181107,理科馆基础学科借阅室
fb19b068ac40898556ae32ec2ce27b83,技术科学试验班,杜德尼,1/1000000的人才会做的数学游戏,nan,20171110,理科馆基础学科借阅室
3a47dd05ccd834523e9efb0c30935fce,技术科学试验班,程桓松,Java程序设计循序渐进教程,nan,20190506,张江馆张江书库
3a47dd05ccd834523e9efb0c30935fce,技术科学试验班,"江户川乱步,",魔术师,nan,20190311,张江馆张江书库
3a47dd05ccd834523e9efb0c30935fce,技术科学试验班,程桓松,Java程序设计循序渐进教程,nan,20190311,张江馆张江书库
3a47dd05ccd834523e9efb0c30935fce,技术科学试验班,史荣昌,矩阵分析,nan,20180112,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,尼斯卓姆,游戏编程模式,nan,20200930,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Post, Gerald V.",Database management systems :,nan,20190906,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,胡昌华,基于MATLAB 的系统分析与设计,nan,20190905,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,丘维声,简明线性代数,nan,20190905,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,陈家鼎,概率与统计,nan,20190905,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Silberschatz, Abraham.",Database system concepts =,nan,20190905,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,王家林,Spark核心源码分析与开发实践,nan,20190502,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,余明辉,Hadoop大数据开发基础,nan,20190429,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,董轶群,Spark大数据分析技术与实战,nan,20190429,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Barry, Paul, 1966-",Head first Python =,nan,20190313,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,胡新启,离散数学习题与解析,nan,20190307,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,刘增杰,精通HTML5 + CSS3 + JavaScript网页设计,nan,20190306,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,明日科技,JavaScript从入门到精通,nan,20190129,理科馆应用学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Rauschmayer, Axel, 1972-, author.",Speaking JavaScript =,nan,20190129,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"布鲁阿尔迪,",组合数学,nan,20190107,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,马振华,现代应用数学手册,nan,20190102,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Weiss, Mark Allen.",Data structures and algorithm analysis in Java =,nan,20181226,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Harold, Elliotte Rusty.",Java network programming =,nan,20181113,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Kolman, Bernard, 1932-",Discrete mathematical structures =,nan,20181109,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Sedgewick, Robert, 1946-",Java算法 /,nan,20181022,张江馆张江书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,德罗兹代克,数据结构与算法,nan,20180906,理科馆应用学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"哈罗德,",Java网络编程,nan,20180906,理科馆应用学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,罗森,离散数学及其应用,nan,已催还20180906,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,笑蜀,历史的先声,nan,20180905,文科馆政经法阅览室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,王小力,大学物理典型题,nan,20180813,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,孙迺疆,普通物理学 (第六版) 习题分析与解答,nan,20180806,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"Koenig, Andrew.",Accelerated C++ :,nan,20180806,理科馆理科书库
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,孙迺疆,普通物理学 (第六版) 习题分析与解答,nan,20180709,理科馆基础学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"海德,",Java线程编程,nan,20180709,理科馆应用学科借阅室
f536d88cc29a2c93ed6e578e084a490d,技术科学试验班,"埃克尔,",C++编程思想,nan,20180709,理科馆应用学科借阅室
