sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"蔡毅,",中国传统文化在日本,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"叶渭渠,",日本文化史,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"三岛由纪夫,",春雪,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"俵万智,",沙拉纪念日,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"家永三郎,",日本文化史,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"三岛由纪夫,",纯白之夜,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,马丁,冰与火之歌,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,马丁,冰与火之歌,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,马丁,冰与火之歌,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,吴廷璆,日本史,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,克里斯蒂,闪光的氰化物,nan,20200930,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"小和田哲男,",倒叙日本史,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"胧谷寿,",倒叙日本史,nan,20200930,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"中岛敦,",新譯中島敦,nan,20200227,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,斯托克斯,美与暴烈,nan,20200218,文科馆文科综合书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"新美南吉,",新美南吉诗歌选粹,nan,20200211,文科馆文学艺术书库
adf99657de5d7b31e9916f12b1782456,外国语言文学学院,"布伦戴尔,",扶友损敌,nan,20200204,文科馆文学艺术书库
