sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,温特顿,"我要快乐, 不必正常",nan,20190506,文科馆文学艺术书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,陈寅恪,柳如是别传,nan,20190503,文科馆文科综合书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,罗狄·刘易斯,笛卡尔和理性主义,nan,20190503,文科馆文科综合书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"林毅夫,",解读中国经济,nan,20190307,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"吴敬琏,",读懂供给侧改革,nan,20190116,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,韩和元,中国经济将重蹈日本覆辙?,nan,20190116,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"林毅夫,",解读中国经济,nan,20190116,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,拉迪,"中国经济增长, 靠什么",nan,20190116,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"吴敬琏,",中国未来30年,nan,20190116,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"林毅夫,",解读中国经济,nan,20181119,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,胡舒立,新常态改变中国,nan,20181119,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,韩琪,中国当代经济问题概要,nan,20181119,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,宋承先,现代西方经济学,nan,20181022,管院图书馆3楼书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,"郭玉锦,",网络社会学,nan,20180213,文科馆文科综合书库
b4357b9e27bcfdb1facecea4c5a628d0,经济管理试验班,刘建明,社会舆论原理,nan,20180213,文科馆文科综合书库
b98c86925a4b6b74842bc3a2c8e5a785,经济管理试验班,段宇锋,R语言与数据可视化,nan,20190401,管院图书馆3楼书库
