sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
08817b77a11df2eedb71b569720039bc,药学院,褚志义,生物合成药物学,nan,20190905,张江馆张江书库
08817b77a11df2eedb71b569720039bc,药学院,刘凌云,普通动物学,nan,20180119,理科馆基础学科借阅室
08817b77a11df2eedb71b569720039bc,药学院,叶创兴,植物学,nan,20180103,理科馆基础学科借阅室
08817b77a11df2eedb71b569720039bc,药学院,陆时万,植物学,nan,20180103,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,邓景发,物理化学,nan,20200930,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,罗兰,临床药代动力学与药效动力学,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,欧阳德方,实用药品专利,nan,20200930,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,阚建全,食品化学,nan,20200930,理科馆理科书库
1a8926d6e846c97486f22905f9c0e071,药学院,谢明勇,食品化学实验与习题,nan,20200930,理科馆理科书库
1a8926d6e846c97486f22905f9c0e071,药学院,崔一民,特殊释药系统的临床药代动力学试验设计,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,吴汉东,知识产权法,nan,20200930,江湾馆文科借阅区
1a8926d6e846c97486f22905f9c0e071,药学院,夏盖尔,应用生物药剂学与药物动力学,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,章新友,药学文献检索,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,刘川,药物临床试验方法学,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,"安塞尔,",药物剂型和给药体系,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,刘晓东,药物代谢动力学教程,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,"蒙克豪斯,",药品的临床试验,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,白东鲁,新药研发案例研究,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,张德生,物理化学思考题1100例,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,冯霞,物理化学解题指南,nan,20200930,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,李萍,生药学,nan,20200309,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,杨荣武,生物化学原理,nan,20200227,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,"菲尼马,",食品化学,nan,20200227,理科馆理科书库
1a8926d6e846c97486f22905f9c0e071,药学院,科默,计算机系统结构精髓,nan,20200207,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,王军,表面活性剂新应用,nan,20191216,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,"傅超美,",药用辅料学,nan,20191216,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,休梅尔,物理化学实验,nan,20191128,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,马奥尔,e的故事,nan,20191122,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,王健礼,物理化学实验,nan,20191122,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,乔国芬,药理学学习指导与习题集,nan,20190905,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,张莲英,生物化学学习指南,nan,20190819,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,杨荣武,生物化学学习指南与习题解析,nan,20190819,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,孙毓庆,分析化学习题集,nan,20190816,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,胡育筑,分析化学习题集,nan,20190816,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,胡萍,仪器分析习题集,nan,20190816,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,"冯卫生,",波谱解析,nan,20190815,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,黄承志,基础仪器分析,nan,20190815,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,华东理工大学,分析化学学习指导,nan,20190815,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,孟令芝,有机波谱分析,nan,20190815,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,黄杉生,分析化学习题集,nan,20190813,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,胡育筑,分析化学习题集,nan,20190813,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,王冰,药用植物学图表解,nan,20190801,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,黄建明,药用植物学与生药学实验指导,nan,20190801,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,黄宝康,药用植物学实践与学习指导,nan,20190801,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,谭兰香,茯苓,nan,20190726,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,蒋秉坤,临床生物化学及生物化学检验,nan,20190722,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,张伟,药理学应试实训题解,nan,20190627,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,贺学礼,植物学典型题解析及自测试题,nan,20190627,江湾馆理科借阅区
1a8926d6e846c97486f22905f9c0e071,药学院,陆时万,植物学,nan,20190627,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,杨荣武,生物化学原理,nan,20190627,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,金国琴,生物化学习题精选,nan,20190627,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,胡宝忠,植物学实验,nan,20190627,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,乔国芬,药理学应试习题集,nan,已催还20190627,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,萧能qing,生物化学实验原理和方法,nan,20190627,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,吴国芳,植物学,nan,20190627,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,杨红,生物化学学习指导与习题集,nan,20190429,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,周春燕,生物化学与分子生物学学习指导及习题集,nan,已催还20190419,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,"横沟正史,",恶魔吹着笛子来,nan,20190306,江湾馆文科借阅区
1a8926d6e846c97486f22905f9c0e071,药学院,周方钦,分析化学实验,nan,20190205,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,吉卯祉,有机化学习题及参考答案,nan,20190205,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,林辉,有机化学习题集,nan,20190205,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,茆诗松,概率论与数理统计教程,nan,20190125,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,茆诗松,概率论与数理统计教程,nan,20190122,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,上海财经大学,概率论与数理统计习题集,nan,20190118,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,朱万仁,有机化学学习指导,nan,20190118,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,苏志平,分析化学 (第六版) 同步辅导及习题全解,nan,20190118,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,张凌,分析化学学习指导与习题集,nan,20190118,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,李国祥,分析化学导教·导学·导考,nan,20190118,理科馆基础学科借阅室
1a8926d6e846c97486f22905f9c0e071,药学院,吴松泉,医学微生物学与寄生虫学学习指导,nan,20190116,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,何维,医学免疫学,nan,20190116,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,苏昕,微生物学与免疫学学习指导与习题集,nan,20190116,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,"王月丹,",医学免疫学应试指南,nan,20190116,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,余平,医学免疫学学习指导与习题集,nan,20190116,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,余承高,生理学助记图表与歌诀,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,涂晓艳,传染病与国家安全,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,罗自强,生理学学习指导与习题集,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,余华荣,生理学学习指导,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,"朱大年,",生理学,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,孙红,人体生理学学习提纲及复习题,nan,20190114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,德尼尔,药物微生物学,nan,20190107,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,"蒋廷黻,",中国近代史,nan,已催还20181126,文科馆文科综合书库
1a8926d6e846c97486f22905f9c0e071,药学院,徐国成,人体解剖学彩色图谱,nan,20181114,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,胡永华,流行病学史话,nan,20181112,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,张志斌,中国古代疫病流行年表,nan,20181112,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,"李兰娟,",传染病学,nan,20181112,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,卫强,药学文化概论,nan,20181112,张江馆张江书库
1a8926d6e846c97486f22905f9c0e071,药学院,陈蓉霞,人类抗疫全记录,nan,20181112,医科馆中文图书区
1a8926d6e846c97486f22905f9c0e071,药学院,涂晓艳,传染病与国家安全,nan,20181112,医科馆中文图书区
