sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,吕毅,消化系统疾病学习指导及习题集,nan,20210118,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"edited by Richard Baldock, Jonathan Bard, Duncan R. Davidson and Gillian Morriss-Kay.",Kaufman's atlas of mouse development supplement :,nan,20200930,医科馆外文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"鲁迅,",呐喊·彷徨,nan,20200930,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"窦文涛,",锵锵三人行,nan,20200930,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,大仲马,三个火枪手,nan,20200930,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"王小波,",黑铁时代,nan,20200930,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,王辰,内科学,nan,20200930,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,刘慈欣,微纪元,nan,20200930,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"edited by Paul M. Wassarman, Melvin, L. DePamphilis.",Guide to techniques in mouse development /,nan,20200930,江湾1号密集书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,赵玉沛,外科学,nan,20200930,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,梁智勇,病理学实习指导,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,谢灿茂,内科急症治疗学,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,古钦民,新编人体寄生虫学应试向导,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,余森海,人体寄生虫学彩色图谱,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,克拉特,Robbins和Cotran病理学图谱,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,郭慕依,组织病理学彩色图谱,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,夏惠,人体寄生虫学实验教程,nan,20200227,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,张忠广,人体寄生虫学笔记,nan,20200227,张江馆张江书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,布亚,奈特病理学彩色图谱,nan,20200217,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"editors, Piper M. Treuting, SuzanneM. Dintzis ; associate editors, Charles W. Frevert, Denny Liggitt",Comparative anatomy and histology :,nan,20200210,医科馆外文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,甘辉立,肺动脉栓塞学,nan,20200131,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"王国维,",人间词话,nan,20191108,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,韦伯,新教伦理与资本主义精神,nan,20191108,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"郭德纲,",郭德纲这点事儿,nan,20190906,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"王国维,",人间词话,nan,20190905,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,韦伯,新教伦理与资本主义精神,nan,20190905,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"程士德,",程士德中医学基础讲稿,nan,20190812,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"印会河,",印会河中医学基础讲稿,nan,20190812,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"王文健,",中西医结合临床,nan,20190708,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"王文健,",中西医结合临床,nan,20190617,医科馆教学参考书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,刘见见,医学伦理学,nan,20190523,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,吴晓露,医学伦理学,nan,20190523,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,胡庆澧,基因伦理学,nan,20190523,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,安介生,山西移民史,nan,20190318,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"都梁,",亮剑,nan,20190318,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,陈根,互联网+医疗融合,nan,20190114,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"芮晓武,",中国互联网健康医疗发展报告,nan,20190114,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"宫晓冬,",中国互联网医疗发展报告,nan,20190114,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"梯利,",西方哲学史,nan,20181228,文科馆文学艺术书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,杜兰特,哲学的故事,nan,20181228,文科馆文科综合书库
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,王彩霞,医学伦理学,nan,20181224,医科馆中文图书区
67c3801ffe2c87fcd1ea4992681df7bb,基础医学院,"曹永福,",“柳叶刀”的伦理,nan,20181224,医科馆中文图书区
