sut_name,stu_maj,writer,bookname,bookindex,borrowtime,branchoflib
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,李倩星,生活中的统计学,nan,20180905,文科馆文科综合书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,戈尔登,战争之潮,nan,20180905,文科馆文学艺术书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,斯塔克波尔,部落的暗影,nan,20180905,文科馆文学艺术书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,戈尔登,阿尔萨斯,nan,20180905,文科馆文学艺术书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"朱光潜,",西方美学史,nan,已催还20180905,文科馆文科综合书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"朱光潜,",西方美学史,nan,已催还20180905,文科馆文科综合书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"竹内整一,",花びらは散る花は散らない,nan,20180905,理科馆理科书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,赤枝香奈子,近代日本における女同士の親密な関係,nan,20180905,理科馆理科书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"Orwell, George, 1903-1950.",Animal farm /,nan,20180514,理科馆外教中心（东）
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,赤枝香奈子,近代日本における女同士の親密な関係,nan,20180514,理科馆理科书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"竹内整一,",花びらは散る花は散らない,nan,20180514,理科馆理科书库
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"Orwell, George, 1903-1950.",Nineteen eighty-four /,nan,20180514,理科馆外教中心（东）
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"Orwell, George, 1903-1950.",Nineteen eighty-four /,nan,20180314,理科馆外教中心（东）
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"Orwell, George, 1903-1950.",Animal farm /,nan,20180314,理科馆外教中心（东）
2890e1d33c7f56b7f8f47b7e21111298,核科学与技术系,"三上章,",象は鼻が長い,nan,20171113,理科馆理科书库
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,蔡圣善,电动力学,nan,20201209,理科馆基础学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,李泉凤,电磁场数值计算与电磁铁设计,nan,20201209,理科馆基础学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,刘乃泉,加速器理论,nan,20201209,理科馆理科书库
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,文世鹏,应用数值分析,nan,20200103,理科馆基础学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,张明,应用数值分析,nan,20200103,理科馆基础学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,管西京,编程大讲坛,nan,20191021,理科馆应用学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,霍金,Unity 5实战,nan,20190517,理科馆应用学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,"多尔曼,",游戏核心算法编程内幕,nan,20190513,理科馆应用学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,"道森,",C++游戏编程入门教程,nan,20190513,理科馆应用学科借阅室
0a3a568785f61e7ef8d815dbc09a51c8,核科学与技术系,"希尔特,",C++基础教程,nan,20190513,理科馆应用学科借阅室
dd7beacc7a5f03d8a1956aaf77304cae,核科学与技术系,"Kunen, Kenneth.",Set theory :,nan,20171009,理科馆外教中心阅览室
86059d98c8f538b49dd0031288a78123,核科学与技术系,莫小欢,黎曼-芬斯勒几何基础,nan,20201209,理科馆基础学科借阅室
86059d98c8f538b49dd0031288a78123,核科学与技术系,潘斌,机器学习入门,nan,20201113,理科馆应用学科借阅室
